Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
Q15811	Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1					966.103		1752.36		452.712	824.97			514.167		458.755			669.796				1148.73	445.941				708.489						721.782		342.39					
Q15819	Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2				1688.85		1406.7			967.37	2250.36		997.326					2608.62	1444.64				1527.93					1364.29		1380.45		1031.9		1940				1204.54			
Q15833	Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2		918.413	2330.5	3319.61	1512.18	1799.93			1915.9	2361.48	4560.51	3146.83	1776.44	1709.27	2739.97	2454.69		1209.5	2326.26	2185.95	2204.33	2019.35	1243.17	1813.42			1503.03	1823.15			1540	1562.85	2327.67	1097.46	2696.77	2587.64	1756	1889.34		2209.78
Q15843	Q15843	NEDD8_HUMAN	NEDD8	NEDD8	9869.61	1893.82	12974.1	3210.47	15321.1	3868.26	11232.1	6044.69	4779.67	3919.99	5693.12	4958.92	2774.54	1685.2	3564.81	2529.52	3932.03	2185.95	2569.52	2775.13	8929.91	9972.55	5817.45	7081.23			8274.09	11093.7	1647.24	1795.23	2708.84	2104.16	3394.46	3037.88	2682.01	2820.13	2995.04	3088.96	4650.46	2824.5
Q15847	Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	14383.8	9914.7	3791.06		6918.85	7329.11	19314.1	75246.1	28378	23995.5	19757.8	16259.5	11502.5	16032.9	10475.9	14386	3192.95	3299.69	19905.9	19081.8	14627.6	13624.4	20142.4	18820.6	46006.8	34476.2	9293.61	7046.85	5483.63	6323.91	3167.72	3103.91	20339.7	15308.2	7191.35	9380.69	3453.42	4649.18	10714.1	12384.6
Q15848	Q15848	ADIPO_HUMAN	ADIPOQ	Adiponectin	21831	38848.2	19676.5	23532.7	2647.73	4853.65	1650.82	2152.72	18025.1	28577	15576.7	20062.2	14055.1	16714.9	22634.9	24920.9	25667.5	26081.6	13149.4	14945.9	11827.4	11708.7	12674.6	15298.1			41107.5	35392.9	12566.5	11144.2	29086.2	24249.8	24041.5	23837.7	19061.7	27459.5	31327.5	39863.8	69894.1	67816.1
Q15942	Q15942	ZYX_HUMAN	ZYX	Zyxin	128583	115000	75531.9	83849.4	72127.4	96872.6	139051	131732	79592.3	86226	58341.6	43192.6	46667.7	41780.4	23095.9	25732.4	39128.6	35211.6	27873.1	29397.5	102013	78230.5	93059.6	93217.8	169844	155292	93914.5	100761	65065.7	61050.2	40108.3	31613.7	125869	85542.1	90137.1	54986.2	24314.5	27707	14624.6	17287.7
Q16082	Q16082	HSPB2_HUMAN	HSPB2	Heat shock protein beta-2	1483.35			926.547	1584.43	1789.13			1168.19	1582.14			1500.6			1114.35	898.483	1578.44			1502.27	1954.13	1525.43	2358.27			2123.05	2896.24	1026.63	1136.62	1255.92	1687.1	1251.18	1125.38	1148.6	959.186	1338.54			
Q16134	Q16134	ETFD_HUMAN	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial									1623	1499.74	1609.05	2306.32	1291.19	1761.34	1769.18	2179.99	1452.08	1799.01	1061.72	962.552							1161.11				951.992	1676.21		1475.3	1098.68	1048.23	1272.18	940.093		1536.04
Q16181	Q16181	SEPT7_HUMAN	SEPTIN7	Septin-7	4766.2	5234.96	2400.4	7385.53	6264.17	5898.93	4381.46	4093.36	6388.14	7282.27	2443.04	2176.2	4316.34	3877.21	5580.89	4850.72	7015.39	6650.92	5324.35	2939.62	7455.25	8043.36	4178.48	4441.06	25578.2	17806.2	5930.77	5576.91	6025.69	6605.06	2597.38	3788.05	8166.34	8664.68	6593.98	6319.15	5309.29	6761.15	3863.43	4104.97
Q16186	Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	2313.46	1629.93	2038.95	2414.62	3891.38	3632.17	2583.73	4254.28	1967.61	2154.1	2624.21	2925.54	5240.32	6616.93	2987.71	2486.71	2546.39	2084.82	3009.39	1890.87	3270.43	2913.44	3825.49	5004.99	3187.86	1760.4	2188.43	1874.73	3249.28	3879.75	2725	4791.11	2107.93	3361.45	1871.96	1784.26	3150.53	3952.65	2300.97	2044.85
Q16222	Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	2530.05		4262	4252.91	5687.15	6520.92	3930.74	4350.6	5745.63	5707.41	2648.5	2989.31	12887.2	12371.3	6100.52	7657.37	5650.64	3182.23	3645.56	4413.35	4320.71	3787.7	9680.38	10473.3			4153.36	3629.55	4008.91	3632.01	4383.23	5063.1		4142.89	4650.92	6749.49	3207.19	4013.7	4893.84	5684.54
Q16270	Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	34430.5	28157.6	26519.7	22246.5	47321.2	41274.7	58606.6	106172	65760	83779	22549.7	24601.6	18214.8	21047.1	52817.3	48135.6	100478	85481.3	28019.4	25545.9	49795.7	42756.4	36842.8	33590	106965	150484	33105.9	32175.7	60857.9	67664.1	50254.3	52352.5	154476	127402	88958.2	82726.8	70635.3	60651.3	146463	99865
Q16363	Q16363	LAMA4_HUMAN	LAMA4	Laminin subunit alpha-4	5070.83	4167.02	5755.45	5496.92	6600.18	7307.38	4051.55	5711.17	7845.07	7496.43	6593.11	6464.96	4774.75	4459.76	10605.7	9675.2	7663.3	6989.86	6517.47	7930.62	5656.76	5816.42	10037	10010.6	7052.59	5840.62	6193.66	5993.7	10491	11330.8	12902.1	11860.1	11029.7	9769.79	10769.6	10978.8	16878	15252.5	11447.3	11218.4
Q16401	Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	2043.47	4656.23	3123.73	2918.72	2380.5	2629	4004.08		3402.87	2775.05	3391.27	3690.18	4482.39	4905.58	2682.12	2217.04	2073.38	2251.3	1527.03	1843.7	2876.69	2745.67	2696.95	3235.45			3894.05	2808.04	2256.07	2394.76	3313.19	2906.77	3336.52	2841.83	2391.26	2545.77	1909.28	1669.79		3179.04
Q16512	Q16512	PKN1_HUMAN	PKN1	Serine/threonine-protein kinase N1				2215.05	1578.53	2043.12	6934.87	7000.75	1387.29	2435.87	1423.68	2734.51	1051.6	1695.84	2632.88	1529.55	1705.44	1523.98			911.658	1133.8	504.812	1092.98	7555.92	9410.33	1503.12		2303.61	1575.83	1605.27	1207.22	2199.22	1729.61	1830.57	1601.04				
Q16527	Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	65311.1	55317.6	31335.1	24715.6	38500	46450.7	58090.6	68592.7	30706.7	37574.6	18211.3	19937.3	23855.9	18251.1	8015.29	7876.04	16352.5	16588.4	3284.65	4123.68	46475.1	49333.7	84070.3	76082.6	57468.7	55665.7	68593.1	62739.1	54614.8	52063	25681.2	21679.3	93564.2	85821.6	42931.7	42719.8	28837	33754.9	23010.6	20789.2
Q16531	Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	3416.23	1146.9	3657.34	3517.5	4476.39	4079.44	2562.84		3553.33	3332.16	3082.63	2736.42	4775.97	4044.64	2907.79	2981.86	3903.45	2709.44	3118.19	2469.06	3211.36	3244.71	3796.94	4319.68	1812.38		4171.26	3246.6	3552.82	4024.72	3801.59	2828.77	3493.67	3369.15	2927.36	2595.86	3361.61	2482.77	4262.31	2752.01
Q16537	Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform									1130.85	684.888					989.938						791.705			690.797			376.202	730.438								669.646				
Q16539	Q16539	MK14_HUMAN	MAPK14	Mitogen-activated protein kinase 14	1707.47		4789.56		2992.56	3170.82	3877.98		2887.36	3039.92	2839.02	2442.6	1677.84	5455.11	2292.93	2132.03	2216.11	1774.79	2097.29	1658.72	2894.9	2652.73	3054.74	2627.35			3369.06	2710.61	2094.79		2329.4	1935.76	3183.4	1628.97	2336.14	3778.88	1725.44			
Q16543	Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	6677.44	4604.31	4211.01	6797.57	7657.71	5554.68		4674.18	3668.34	4211.56	1948.36		7604.76	7479.67	3571.69	3977.81	2494.66	3247.72	5471.59	5744.56	1710.14	1713.87	4477.36	6445.15			2132.72	4596.48	4408.72	2183.89		4546.21	6888.63	2849.28	4876.29	1027.14	3065.81		5873.5	
Q16555	Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	21497.8	16723.4	29396.4	27471.9	28348.8	33751.1	32915.7	28392.7	36665.4	26921.8	30572.3	28828.8	28651.5	23392.9	31274.1	27365.7	28546.2	31474.8	17637.7	17535.7	26286.2	29439.8	26898.1	28090.6	42282.9	50276.2	31327	28515	30400.9	26932.5	28289.7	27030.5	25504.9	21342.9	24843.2	22872.7	24480.3	20672.3	18479.1	19391.4
Q16576	Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	2286.22	771.209	3685.4	1670.36	3387.55	3009		1456.52	4441.6	3086.71	3259.08	1960.51	5619.91	4252.73	2242.26	1404.24	2227.39	1992.12	1279.76	1433.51	5274.9	4499.33	3990.7	3013.85			3794.06	3452.6	3434.44	2326.29	2261.49	1630.36	2948.68	3156.37	2913.13	2131.38	1093.19	1423.92	726.293	
Q16585	Q16585	SGCB_HUMAN	SGCB	Beta-sarcoglycan	547.61	856.27	1073.86		1402.44	1663.26			904.584	2248.55	684.047	1720.36		1667.59	1210.25	1077.7	5059.64	2917.74	973.191		1650.61	687.805	1974.98	1913.69	1365.4		3564.23	2454.99	3194.93	3096.04	1600.25	764.9	2359.66	2303.72	2413.16	1438.75	3484.61	2046.61	4227.88	3799.46
Q16602	Q16602	CALRL_HUMAN	CALCRL	Calcitonin gene-related peptide type 1 receptor									864.262	637.1			1369.19	1752.24			480.403	481.243			1276.16	1247.28					1033.87	1529.26			874.743	1149.09		566.556						968.723
Q16610	Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1	7140.52	10433.4	13763.9	11592.9	6736.63	6160.39			12144.9	15828.3	13407.1	9290.01	13925.8	9725.45	22419.2	25080.8	6561.16	6429.23	22927.8	22801.4	8216.6	10013.2	6528.52	12328.4	44856.3		5391.68	8797.02	10153.1	8334.46	7448.8	10366.1	14228.5	8875.54	24717.8	22264.2	10971.8	15715.7	27475.7	15887
Q16627	Q16627	CCL14_HUMAN	CCL14	C-C motif chemokine 14									763.837					1869.86						864.234		1033.27						1108.59			1445.96	1571.41	914.464						1163.14	
Q16629	Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	4524.16	4968.28		1796.41	3789.39	1530.73			3891.3	2782.13			2515.6	2573.89	3063.99	2010.57	1578.97		2697.61		1335.34	4170.45	3705.71				3605.04	2001.06	3039.44	4609.74		1364.36	2303.51	3965.33	2391.8	4017.65	2424.96	3984.19	2213.88	
Q16630	Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	471.774				1237.89	877.488			569.043				634.597	755.078		445.857		401.019			355.693	666.615	874.985				633.683	717.703	446.678	226.599			1415.94	597.411			607.519	701.619		
Q16643	Q16643	DREB_HUMAN	DBN1	Drebrin	1910.94	2199.29	1843.19	1626.66	1367.6	2635.35	3199.44	2756.65	1282.01	1272.33	1574.64	1081.81	1904.75	1982.44		1304.79	1364.69	1919.02		1195.4	2264.97	1728.43	2500.53	2516.77		1538.02	1925.75	2472.24	2788.13	2419.9	2429.83	2725.4	3239.28	2279.56	1831.38	2156.85	1302.07		1094.38	
Q16647	Q16647	PTGIS_HUMAN	PTGIS	Prostacyclin synthase	40219.8	23027.3	16784.7	19446.7	28035.6	34649.2	15597.4	17387.7	30854.9	38946.7	9919	10420	11506.3	14691.7	36192.9	40288	46901.2	47643.7	10243.8	8477.12	21673.1	18257.4	24348.6	21485.9	12602.1	10482.9	22003.2	19066.5	43418.7	40569.6	24871.2	27606.7	37777	36738.9	25435	28022	32319.5	28980.8	46682.4	45167.4
Q16658	Q16658	FSCN1_HUMAN	FSCN1	Fascin	5647.19	4162.68	9769.43	8908.05	7147	5766.13	11968.3	16445	8095.61	8370.5	8442.01	9670.67	13351.8	10650.3	9298.78	7738.28	3707.6	3825.07	5398.64	6554.97	6635.46	7211.46	8424.13	8851.59	14103.3	38296	5261.01	5092.65	4416.85	4637.59	8970.91	7117.73	4226.12	4572.73	5903.78	5330.67	4596.51	2537.64	3908.42	4202.28
Q16666	Q16666	IF16_HUMAN	IFI16	Gamma-interferon-inducible protein 16	1309.12		2792.55		3386.31	2389.09			2335.98	2799.59	1830.36	840.348	7001.32	5656.82	3145.44	3769.26	1809.84	1692.21	1808.4		4230.44	5573.72	4658.7	4062.09			1756.81	2923.14	2235.24	2612.9		1813.42	4378.5	4647.67	2415.71	4766.01	2976	2836.13		
Q16698	Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	1601.7		1840.55	947.778	857.976	992.568			5095.69	5229.2	3435.18	4133.29	1396.1	2186.97	5248.39	6771.68	4180.93	4339.69	2658.88	1707.18	4181.27	2318.68	1816.37	1960.71	1517.02		2275.48	2127.85	1493.84	2114.21	3112.62	4476.94	3342.82	3369.67	4597.26	1788.77	1817.59	2111.15	2222.43	2308.69
Q16719	Q16719	KYNU_HUMAN	KYNU	Kynureninase			3267.01	4267.68	2613.4	2560.44			3413.78	3075.17	3112.16	3543.22	1061.52		4141.42	4970.59	1761.29	1178.1	4390.27	3796.25	2772.86	2619.29	2426.21	2208.68			1222.54	1477.61	2181.43	1994	2688.56	2862.7	2255.64	2435.71	3062.37	2529.57	2693.38	2450.79	1651.92	4412.54
Q16720	Q16720	AT2B3_HUMAN	ATP2B3	Plasma membrane calcium-transporting ATPase 3					577.503	1230.15				2612.5	1988.96	1202.11	978.194		2063.27	3027.28	2555.65			1582.58	1178.36	1321.78	1592.13	1458.13			2342.57	1401.14	1285.72	1966.22	1025.94	2188.81	2429.91	3027.88	2215.02	2475.33	974.342			587.257
Q16769	Q16769	QPCT_HUMAN	QPCT	Glutaminyl-peptide cyclotransferase	4664.01	3745.48	4553.79	3254.73	5427.64	2217.57	10383.7	3969.87		2403.39		1337.88	1617.1	2265.49	1756.59	1942.23	2088.71	2043.17	3020.2	3724.5		973.86	1843.84	1660.33			1825.92	1579.72	2048.52	2052.88	1942.78	2128.44	3076.94		3063.47	1051.78	2902.61	2017.08		
Q16774	Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	10697.3	4084.54	6013	9598.07	5246.61	4593.83			4732.38	2899.17	6019.77		4177.37	2264.85	4122.14	3180.53		5053.82		8952.43	4681.19	5378.57	6858.04	6069.43			5042.42	6354.19	4709.9	6123.16	4082.52	5644.04		3592.04	3588.15	4172.51	3917.21	6048.26		
Q16775	Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	3883.09	1096.61	4017.44	6152.02	3833.1	4004.57	4368.84	3775.23	3957.27	4958.97	3486.81	5605.89	2853.76	4210.18	4825.79	4272.85	6161.79	5476.58	3051.18	3054.39	4216.83	4843.81	4222.63	4540.37			5885.46	5504.68	3042.67	3677.4	4470.69	3540.14	4016.8	5054.15	4019.78	4453.96	4696.44	3504.55	4137.04	5131.7
Q16777;Q6FI13	Q16777;Q6FI13	H2A2A_HUMAN;H2A2C_HUMAN	H2AC18;H2AC20	Histone H2A type 2-C	1166.66		1719.06		5621.76	566.219	7593.75		2376.67	1075.54	2147.08	1768.91	2671.51	3636.89	2697.44	1879.96	418.463	713.65	2941.41	752.724	1731.57	2497.93	1927.96	1327.15			306.165	987.389			1295.68	1862.68	681.969		1035.66	852.994	2285.19	680.046		
Q16795	Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial					568.704				65.5511				1717.6	3797.57	706.966		428.665				909.912		877.927	1309.72			559.058	404.35					612.347				606.913			
Q16798	Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial			941.312		4017.07		1292.02		1924.34	1125.43	1965.45	1628.19	1986.16	1686.55	2124.01	897.113		1121.54	791.007		1825.64	1619.66	1044.64	916.747			1142.5	1229.47			1368.6		1197.62	987.371			760.298		877.808	
Q16799	Q16799	RTN1_HUMAN	RTN1	Reticulon-1		1105.41		1872.83		2696.06	1283.97	2681.16	1763	3159.13		2150.64			1512.14	2069.28	1186.25	2616.18		1841.51	1608.71	1694.58	2476.06	1867.9			1544.87	477.164	2179.5	952.852			3032.67	562.798	2317.15	1480.58	1718.51			
Q16822	Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	4060.51	3802.33	4619.74	8728.13	3752.02	5153.29	8970.98	8816.74	6281.28	6781.54	6687.24	8656.17	1836.49	4372.54	4736.22	4849.97	2801.42	4982.99	4212.42		3929.02	4367.04	3780.08	4654.14			4326.89	4417.06	5709.63	7830.9	5577.8	5426.97	6653.26	7506.5	5808.38	5722.31	4443.29	3525.89		1575.35
Q16836	Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	17839.5	17649.1	9401.57	16478.4	11873.1	21957.5	6895.22	15595.9	29132.5	28424.9	21847.6	23837.9	31553.4	24482.2	27217.6	31961.1	42601.8	40737.2	20197.2	21270.8	20168.3	9177.42	22727.7	21769	20625	22180.7	32085	10247.9	40504.8	28463.5	14459.4	10788.9	37309.6	28819	24449.4	26262.4	36705.1	38675.3	23497.6	12127.7
Q16850	Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase											278.499		525.062	719.291						376.656	772.881	422.831	457.866					762.16												
Q16851	Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	6243.9	6257.9	6532.68	6590.19	8525.62	9384.8	5449.97	10212.4	10944.4	7766.42	8108.75	6461.53	5602.79	6163.76	9013.2	9202.23	8146.28	7096.37	5840.5	6314.94	6406.94	6737.57	8131.79	7903.49	3505.21	10753.3	8093.6	7512.42	9235.55	8298.46	8818.53	7150.91	8504.62	9497.32	9436.63	7122.26	5639.42	4557.98	4613.76	5345.19
Q16853	Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	71039.4	46199.8	21472.5	25807.9	48026.6	57574.4	102500	61522	61923.8	62312.1	21379.7	29074.3	20400.4	24230	47000.9	47457.8	160239	181282	40913.7	38816	30887.2	30576.4	49182.9	55301.5	249935	216951	62757.4	61942.5	92267.8	108159	46714.3	43349.8	82735	56162.9	35354.1	34532	79155	61124.6	102304	59299.6
Q16864	Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	1075.24		2451.38		2832.97	1377.53			656.319	1955.83	1696.55	1786.11	933.961	587.943	1360.6	1547.17	1645.14	763.078	1512.46	1625.2	849.241	962.428	1281.72	1377.88			883.649	1699.45		377.458	1422.31	1637.58		1418.68		2129.89	2007.33			2120.78
Q16881	Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	7742.92	10589.4	11036.1	11636.6	8636.56	10455.5	11668.5	13421.8	7080.97	7206.56	7139.9	7191.24	12081	8569.15	6925.03	6205.92	6606.69	6360.04	6519.25	7116.57	8941.75	10458.9	12096.5	12232.7	11833	15760.6	12423.6	9307.23	8840.09	7677.8	9466.4	9317.84	8581.81	7639.67	6166.57	5838.65	6246.79	6297.96	5450.41	5915.92
Q16881;Q9NNW7	Q16881;Q9NNW7	TRXR1_HUMAN;TRXR2_HUMAN	TXNRD1;TXNRD2	Thioredoxin reductase 1, cytoplasmic									1957.68	4169	3265.01	2854.15	3787.32	4787.24	2781.91	1616.87	2357.04	1355.95	2601.03	3806.42	1841.27	2426.7					3148.64	2291			4026.79	2114.58	3682.95	1121.69	2588.03	1282.01			2951.58	
Q16890	Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	2290.83		1695.14	2054.62	777.818	1688.75	2400.59	2802.86	1253.99	1314.19				1557.88			1610.43	1699.61		1215.98			850.183				869.69		912.307	957.122		1183.17			841.169	1039.87	1220.45			1226.36
Q16891	Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	4513.47	1218.79	5008.14	3090.74	2987.12	2093.86		9391.47	1772.66		3037.23	3200.85	5730.56	8363.25	1751.26	1438.94		695.659	4471.84	4390.23	3460.66	1817.6	5176.04	3384.91	3394.39			2605.8	2378.06	2630.65	2943.63	3491.44		807.968			4671.57	3334.56	1020.82	3781.86
Q1KMD3	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2		3090.21	2870.7	2880.72	2486.63	3597.23	2625.44		3091.92	3953.68	2610.87	2374.84	3705.82	4251.23	2150.36	2846.1		2235.93	2646.58	4361.96	2526.3	1673.28	2904.5	1958.15			2765.04	2225.33	2318.71	2536.55	2776.87		3831.74	3350.31	2726.18	3357.7	1643.52	4209.02		2492.84
Q27J81	Q27J81	INF2_HUMAN	INF2	Inverted formin-2	4696.88		4627.67	4306.17	3534.03	3522.32	2485.28		2909.5	3372.63	2163.64	3157.42	3476.29	4291.05	2553.75	2217.37	3226.11	2329.22	3040.54	3480.01	2401.38	2704.75	3153.65	3261.13	20712.6	21831.3	4956.79	4291.81	2107.37	3709.91	4811.57	4876.89	3261.13	3032.7	4098.81	5025.1	2408.43	1518.77	2482.23	
Q2M2I8	Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	1577.98	1364.01	1759.7	2197.17	1169.61	2623.3	2799.54	2132.93	1281.52	1376.02		1511.13		1051.58	1101.38	1067.2	586.706	504.527			1396.4	1789.09	1880.51	3226.37	9279.81	10930.5	1088.18	668.807	1536.9	1418.28	1802.86	657.801	1957.01	1507.16	1255.2	1233.21	1292.16	1269.34		
Q2M389	Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4					760.573	1642.62			1283.96	1288.72			1003.13	1479.51	1194.83	660.886	862.693	541.434	359.676	382.706	1375.09	1346.68	960.972	642.411			487.301			1069.15			1411.78	1254.53	1077.6	1204.18	1011.99	1456.89	599.124	996.792
Q2TAA2	Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	10231.1	8957.36	10981.1	9292.92	21407.6	11200.1	11317.2	14703.6	9712.5	12362.9	9682.76	7502.41	7700.39	5529.99	5553.47	7741.32	11296.2	13202.2	5176.09	6353.19	8595.94	13051.2	13901	14908.7			4798.76	6579.51	7998.71	8583.04	7757.35	10078.5	11988.2	16862.5	8529.43	11196.7	8551.96	7270.01	9116.7	7306.52
Q32MZ4	Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	2270.45	1899.86	2879.49	3616.75	5570.06	4627	2202.14	7148.72	7075.21	6019.69	6502.04	4257.18	2738.09	2166.49	4584.92	4420.9	3058.06	2498.87	1904.61	1881.99	5417.13	5409.61	5664.46	5177.89			3968.79	2815.5	3786.85	3975.27	3110.85	3539.13	5776.84	5168.89	4911.94	6430.46	3499.53	4648.19	2058.34	1731.22
Q32MZ4;Q9Y608	Q32MZ4;Q9Y608	LRRF1_HUMAN;LRRF2_HUMAN	LRRFIP1;LRRFIP2	Leucine-rich repeat flightless-interacting protein 1	1217.24		1331.32	935.388		1579.41			1740.93	2411.64	714.963			853.46	1518.15	1266.49	1408.14	1160.98			922.166	929.066	1640.54	984.302			1241.39	853.403	1232.56	1343.29		1075.8	2705.8	2613.88	3350.52	2914.58	927.096	978.155	656.223	
Q32P28	Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	2928.95	1919.18	6620.74	7044.89	4035.5	6392.01	6794.2	6010.44	7261.89	6954.72	5345.24	7163.85	8386.93	9539.45	9360.15	10487.2	7255.8	9092.21	6530.29	6013.15	7275.05	5776.06	8246.88	8518.85			4743.23	6258.52	7452.64	8351.25	10619	11937.3	6434.37	7929.35	6813.99	7321.22	9440.75	11788.3	5348.67	11597.5
Q32P44	Q32P44	EMAL3_HUMAN	EML3	Echinoderm microtubule-associated protein-like 3					1789.68	1787.41			865.2	1330.78			1245.64	2733.3	1599.58	1326.44	1758.16				1184.29	1138.51	2123.5	2073.9			2240.73	2263.24	3239.58	3759.6			1764.84		1615.51	1195.25			1013.13	
Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1										1687.38		2128.4					953.27										1423.03						2363.8						3291.76	
Q3KQV9	Q3KQV9	UAP1L_HUMAN	UAP1L1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1			1521.1						515.849		1562.36		916.56	324.105	664.445	415.966	195.812				2341.93	1384.16	1234.58	1353.6			1636.04	854.738					206.641		426.589				648.124	
Q3LXA3	Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	2177.8	4822.81	3483.83	3766.32	3635.2	4295.71	4125.11		2904.73	3545.24	2850.09	2034.6	3438.87	3166.69	2831.44	2827.43	2710.6	2946.81		2683.52	3962.66	3777	3346.83	3303.1			4462.97	5468.38	3657.38	3256.89	3542.43	4011.74	4759.38	4330.58	3476.57	4124.91	2128.65	2521.44	2221.85	2777.72
Q3MHD2	Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12 homolog					6127.27	10196.5	5585.68	4957.17																11615.7						10508.9										
